jobTitle,department,earnings,year,serviceArea,hourlyWage,status
forestry specialist,parks,39601.74,2016,community and operation services,19.04,full time
figure and freestyle coach,recreation,39599.68,2016,community and operation services,19.04,full time
administrative assistant,parks,39588.36,2016,community and operation services,19.03,full time
real estate specialist ii,operation services,39567.67,2016,community and operation services,19.02,full time
executive administrative asst,finance administration,39443.18,2016,financial services,18.96,full time
parts assistant,operation services,39399.12,2016,community and operation services,18.94,full time
events coordinator,cultural services,39195.16,2016,community and operation services,18.84,full time
truck driver-streets,streets,39182.78,2016,planning development & transportation,18.84,full time
truck driver-streets,streets,39132.39,2016,planning development & transportation,18.81,full time
customer service rep ii,utilities customer connections,39089.87,2016,utility services,18.79,full time
sr environmental planner,environmental services,39061.56,2016,sustainability services,18.78,full time
service schedule coord,ut water meters div,38864.44,2016,utility services,18.68,full time
real estate specialist i,operation services,38567.71,2016,community and operation services,18.54,full time
parking enforcement officer,parking,38450.76,2016,planning development & transportation,18.49,full time
customer service rep ii,utilities customer connections,38394.11,2016,utility services,18.46,full time
env. education specialist,utilities customer connections,38376.49,2016,utility services,18.45,full time
customer service rep ii,parking,38331.59,2016,planning development & transportation,18.43,full time
parks/grounds tech,parks,38320.31,2016,community and operation services,18.42,full time
facilities maintenance worker,operation services,38170.54,2016,community and operation services,18.35,full time
deputy court clerk ii,municipal court,38158.81,2016,judicial services,18.35,full time
facilities scheduler,recreation,38029.31,2016,community and operation services,18.28,full time
accountant ii,accounting and treasury,38005.1,2016,financial services,18.27,full time
utility facility locator,electric field services,37848.84,2016,utility services,18.2,full time
administrative assistant,utilities customer connections,37812.54,2016,utility services,18.18,full time
equipment oper- strts/traffic,streets,37739.75,2016,planning development & transportation,18.14,full time
utility facility locator,electric field services,37714.2,2016,utility services,18.13,full time
parking enforcement officer,parking,37695.9,2016,planning development & transportation,18.12,full time
equipment oper- strts/traffic,streets,37691,2016,planning development & transportation,18.12,full time
bldg & dev review tech,comm dev & neighborhood svcs,37645.22,2016,planning development & transportation,18.1,full time
equipment maintenance worker,operation services,37636.96,2016,community and operation services,18.09,full time
administrative clerk i,investigations,37549.39,2016,police services,18.05,full time
administrative aide,parks,37392.41,2016,community and operation services,17.98,full time
utility billing supervisor,utilities customer connections,37350.73,2016,utility services,17.96,full time
graffiti abatement officer,streets,37286.89,2016,planning development & transportation,17.93,full time
horticulturist,cultural services,37285.5,2016,community and operation services,17.93,full time
financial analyst ii,office of the chief,37168.9,2016,police services,17.87,full time
warehouse worker,operation services,37166.04,2016,community and operation services,17.87,full time
systems specialist,information technology,37151.48,2016,information and employee services,17.86,full time
safe routes to school coord,fc moves,37135.45,2016,planning development & transportation,17.85,full time
facility assistant,recreation,36970.58,2016,community and operation services,17.77,full time
utility grounds technician,electric field services,36949.93,2016,utility services,17.76,full time
utility billing representative,utilities customer connections,36887.08,2016,utility services,17.73,full time
environmental program manager,environmental services,36855.12,2016,sustainability services,17.72,full time
pc support specialist,information technology,36795.28,2016,information and employee services,17.69,full time
crew chief,parks,36753.72,2016,community and operation services,17.67,full time
utility grounds technician,electric field services,36685.79,2016,utility services,17.64,full time
