jobTitle,department,earnings,year,serviceArea,hourlyWage,status
fitness instructor,recreation,855,2016,community and operation services,NA,part time
exhibit worker,cultural services,854,2016,community and operation services,NA,part time
lcc stage hand,cultural services,850.5,2016,community and operation services,NA,part time
aqua-fitness instructor,recreation,849.25,2016,community and operation services,NA,part time
fitness instructor,recreation,846,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,843.7,2016,community and operation services,NA,part time
adult sports scorekeeper,recreation,843.47,2016,community and operation services,NA,part time
swim instructor,recreation,840.2,2016,community and operation services,NA,part time
youth instructor,cultural services,840,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,839.8,2016,community and operation services,NA,part time
swim instructor,recreation,838.4,2016,community and operation services,NA,part time
youth instructor,recreation,836.03,2016,community and operation services,NA,part time
youth instructor,recreation,835.05,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,832.3,2016,community and operation services,NA,part time
bldg & dev review tech-inactve,comm dev & neighborhood svcs,832,2016,planning development & transportation,NA,part time
lcc professional stage hand,cultural services,826.8,2016,community and operation services,NA,part time
clerical aide,recreation,823.41,2016,community and operation services,NA,part time
youth sports official,recreation,820,2016,community and operation services,NA,part time
youth sports official,recreation,820,2016,community and operation services,NA,part time
lifeguard/water safety instr.,recreation,817.1,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,816.2,2016,community and operation services,NA,part time
clerical aide,recreation,816.03,2016,community and operation services,NA,part time
skate guard,recreation,814.8,2016,community and operation services,NA,part time
planning technician,cultural services,808,2016,community and operation services,NA,part time
lifeguard,recreation,806.49,2016,community and operation services,NA,part time
youth sports track&field coach,recreation,805,2016,community and operation services,NA,part time
adult sports scorekeeper,city clerk's office,801.92,2016,deputy city manager,NA,part time
lifeguard,recreation,798.8,2016,community and operation services,NA,part time
lifeguard,recreation,797.63,2016,community and operation services,NA,part time
youth sports track&field coach,recreation,787.5,2016,community and operation services,NA,part time
clerical aide,recreation,783.36,2016,community and operation services,NA,part time
utility worker/ parks,parks,770,2016,community and operation services,NA,part time
fitness instructor - sr ctr,recreation,768,2016,community and operation services,NA,part time
exhibit worker,cultural services,761.9,2016,community and operation services,NA,part time
specialized instructor,recreation,761.25,2016,community and operation services,NA,part time
figure and freestyle coach,recreation,760,2016,community and operation services,NA,part time
skate instructor/group,recreation,760,2016,community and operation services,NA,part time
clerical aide,recreation,758.88,2016,community and operation services,NA,part time
clerical aide,recreation,758.16,2016,community and operation services,NA,part time
facility attendant,recreation,756.91,2016,community and operation services,NA,part time
youth sports track&field coach,recreation,755,2016,community and operation services,NA,part time
lifeguard,recreation,750.92,2016,community and operation services,NA,part time
skate guard,recreation,750.03,2016,community and operation services,NA,part time
arts / crafts instr - sr ctr,recreation,750,2016,community and operation services,NA,part time
youth instructor,recreation,744.33,2016,community and operation services,NA,part time
adult sports field/gym supv,recreation,739.75,2016,community and operation services,NA,part time
specialized instructor,recreation,738.4,2016,community and operation services,NA,part time
clerical aide,recreation,733.91,2016,community and operation services,NA,part time
truck driver-streets,streets,733.5,2016,planning development & transportation,NA,part time
lifeguard/water safety instr.,recreation,725.5,2016,community and operation services,NA,part time
aqua-fitness instructor,recreation,722.75,2016,community and operation services,NA,part time
youth sports official,recreation,720,2016,community and operation services,NA,part time
youth sports track&field coach,recreation,710,2016,community and operation services,NA,part time
swim instructor/private,recreation,707.52,2016,community and operation services,NA,part time
facility attendant,recreation,706.18,2016,community and operation services,NA,part time
specialized instructor,recreation,703.43,2016,community and operation services,NA,part time
skate sharpener,recreation,693.4,2016,community and operation services,NA,part time
intern,environmental services,690,2016,sustainability services,NA,part time
adult sports scorekeeper,ut standards engineering div,689.73,2016,planning development & transportation,NA,part time
exhibit worker,cultural services,687,2016,community and operation services,NA,part time
youth instructor,recreation,677,2016,community and operation services,NA,part time
museum assistant,cultural services,676.5,2016,community and operation services,NA,part time
swim instructor/private,recreation,674.64,2016,community and operation services,NA,part time
choreography coach,recreation,673.81,2016,community and operation services,NA,part time
swim instructor,recreation,673.43,2016,community and operation services,NA,part time
lifeguard,recreation,662.66,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,661.7,2016,community and operation services,NA,part time
youth instructor,recreation,651,2016,community and operation services,NA,part time
youth instructor,recreation,644,2016,community and operation services,NA,part time
intern,environmental services,640.92,2016,sustainability services,NA,part time
swim instructor,recreation,639.3,2016,community and operation services,NA,part time
lifeguard,recreation,638.91,2016,community and operation services,NA,part time
swim instructor,recreation,635.6,2016,community and operation services,NA,part time
swim instructor,recreation,631.2,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,626,2016,community and operation services,NA,part time
youth sports official,recreation,623,2016,community and operation services,NA,part time
specialized instructor,recreation,620.1,2016,community and operation services,NA,part time
